aparcamiento_id,fecha,hora,plazas_ocupadas,plazas_libres,porcentaje_ocupacion
1,2024-12-01,0,278,416,40.1
1,2024-12-01,1,209,485,30.1
1,2024-12-01,2,166,528,23.9
1,2024-12-01,3,139,555,20.0
1,2024-12-01,4,125,569,18.0
1,2024-12-01,5,152,542,21.9
1,2024-12-01,6,208,486,30.0
1,2024-12-01,7,326,368,47.0
1,2024-12-01,8,445,249,64.1
1,2024-12-01,9,534,160,77.0
1,2024-12-01,10,589,105,84.9
1,2024-12-01,11,617,77,89.0
1,2024-12-01,12,632,62,91.1
1,2024-12-01,13,597,97,86.0
1,2024-12-01,14,563,131,81.1
1,2024-12-01,15,508,186,73.2
1,2024-12-01,16,527,167,76.0
1,2024-12-01,17,569,125,82.0
1,2024-12-01,18,611,83,88.0
1,2024-12-01,19,625,69,90.1
1,2024-12-01,20,597,97,86.0
1,2024-12-01,21,534,160,77.0
1,2024-12-01,22,459,235,66.1
1,2024-12-01,23,361,333,52.0
2,2024-12-01,0,336,464,42.0
2,2024-12-01,1,248,552,31.0
2,2024-12-01,2,184,616,23.0
2,2024-12-01,3,160,640,20.0
2,2024-12-01,4,144,656,18.0
2,2024-12-01,5,184,616,23.0
2,2024-12-01,6,240,560,30.0
2,2024-12-01,7,368,432,46.0
2,2024-12-01,8,504,296,63.0
2,2024-12-01,9,624,176,78.0
2,2024-12-01,10,680,120,85.0
2,2024-12-01,11,712,88,89.0
2,2024-12-01,12,728,72,91.0
2,2024-12-01,13,688,112,86.0
2,2024-12-01,14,648,152,81.0
2,2024-12-01,15,584,216,73.0
2,2024-12-01,16,608,192,76.0
2,2024-12-01,17,656,144,82.0
2,2024-12-01,18,704,96,88.0
2,2024-12-01,19,720,80,90.0
2,2024-12-01,20,688,112,86.0
2,2024-12-01,21,616,184,77.0
2,2024-12-01,22,528,272,66.0
2,2024-12-01,23,416,384,52.0
3,2024-12-01,0,192,288,40.0
3,2024-12-01,1,139,341,29.0
3,2024-12-01,2,106,374,22.1
3,2024-12-01,3,96,384,20.0
3,2024-12-01,4,86,394,17.9
3,2024-12-01,5,110,370,22.9
3,2024-12-01,6,144,336,30.0
3,2024-12-01,7,225,255,46.9
3,2024-12-01,8,307,173,64.0
3,2024-12-01,9,374,106,77.9
3,2024-12-01,10,408,72,85.0
3,2024-12-01,11,427,53,89.0
3,2024-12-01,12,437,43,91.0
3,2024-12-01,13,413,67,86.0
3,2024-12-01,14,389,91,81.0
3,2024-12-01,15,350,130,72.9
3,2024-12-01,16,365,115,76.0
3,2024-12-01,17,394,86,82.1
3,2024-12-01,18,422,58,87.9
3,2024-12-01,19,432,48,90.0
3,2024-12-01,20,413,67,86.0
3,2024-12-01,21,370,110,77.1
3,2024-12-01,22,317,163,66.0
3,2024-12-01,23,250,230,52.1
4,2024-12-01,0,171,279,38.0
4,2024-12-01,1,126,324,28.0
4,2024-12-01,2,95,355,21.1
4,2024-12-01,3,85,365,18.9
4,2024-12-01,4,81,369,18.0
4,2024-12-01,5,99,351,22.0
4,2024-12-01,6,135,315,30.0
4,2024-12-01,7,216,234,48.0
4,2024-12-01,8,284,166,63.1
4,2024-12-01,9,342,108,76.0
4,2024-12-01,10,378,72,84.0
4,2024-12-01,11,396,54,88.0
4,2024-12-01,12,405,45,90.0
4,2024-12-01,13,383,67,85.1
4,2024-12-01,14,365,85,81.1
4,2024-12-01,15,333,117,74.0
4,2024-12-01,16,342,108,76.0
4,2024-12-01,17,369,81,82.0
4,2024-12-01,18,387,63,86.0
4,2024-12-01,19,401,49,89.1
4,2024-12-01,20,383,67,85.1
4,2024-12-01,21,342,108,76.0
4,2024-12-01,22,288,162,64.0
4,2024-12-01,23,225,225,50.0
5,2024-12-01,0,96,171,36.0
5,2024-12-01,1,69,198,25.8
5,2024-12-01,2,56,211,21.0
5,2024-12-01,3,45,222,16.9
5,2024-12-01,4,40,227,15.0
5,2024-12-01,5,59,208,22.1
5,2024-12-01,6,75,192,28.1
5,2024-12-01,7,123,144,46.1
5,2024-12-01,8,169,98,63.3
5,2024-12-01,9,203,64,76.0
5,2024-12-01,10,227,40,85.0
5,2024-12-01,11,237,30,88.8
5,2024-12-01,12,243,24,91.0
5,2024-12-01,13,227,40,85.0
5,2024-12-01,14,216,51,80.9
5,2024-12-01,15,195,72,73.0
5,2024-12-01,16,203,64,76.0
5,2024-12-01,17,219,48,82.0
5,2024-12-01,18,235,32,88.0
5,2024-12-01,19,240,27,89.9
5,2024-12-01,20,227,40,85.0
5,2024-12-01,21,205,62,76.8
5,2024-12-01,22,171,96,64.0
5,2024-12-01,23,139,128,52.1
6,2024-12-01,0,159,239,39.9
6,2024-12-01,1,119,279,29.9
6,2024-12-01,2,88,310,22.1
6,2024-12-01,3,80,318,20.1
6,2024-12-01,4,72,326,18.1
6,2024-12-01,5,92,306,23.1
